id	class_id	prop_id	obj_id	obj_num
0	player	ruby		200
1	player	ruby		200
2	player	ruby		200
3	player	ruby		200
4	player	ruby		200
5	player	ruby		200
6	player	ruby		100
7	player	ruby		100
8	player	ruby		100
9	player	ruby		100
10	player	ruby		100
11	player	ruby		100
12	player	ruby		100
13	player	ruby		100
14	player	ruby		100
15	player	ruby		100
16	player	ruby		100
17	player	ruby		100
18	player	ruby		100
19	player	ruby		100
20	good		chouka_juan4	1
21	player	ruby		50
22	player	ruby		50
23	player	ruby		50
24	player	ruby		50
25	player	ruby		50
26	player	ruby		50
27	player	ruby		50
28	player	ruby		50
29	player	ruby		50
30	player	ruby		50
31	player	ruby		50
32	player	ruby		50
33	player	ruby		50
34	player	ruby		50
35	player	ruby		50
36	player	ruby		50
37	player	ruby		50
38	player	ruby		50
39	player	ruby		50
40	player	ruby		50
41	player	ruby		50
42	player	ruby		50
43	player	ruby		50
44	player	ruby		50
45	player	ruby		50
46	player	ruby		50
47	player	ruby		50
48	player	ruby		50
49	player	ruby		50
50	good		chouka_juan12	2
